sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
68.756,7.913,-12.68,0.0,242.894,166.008,-80.202,0.0,0.0,0.0,0.9,0.0,0.0,0.0,-10.71,-17.519,-12.68,81.8,1.4,1.4,321.0,0.782,4.548,0.012,0.0,4.548,4.548,1.561,0.0,0.0,0.0,0.017,0.0,-1.0,2.214,0.1,2.214,6.0,4.548,6.0,4.548,6.0
53.688,10.646,-11.73,0.0,233.375,166.572,-70.13,11.376,12.64,1.264,0.9,12.64,0.0,12.64,-10.37,-19.442,-11.73,79.1,1.3,1.3,325.0,0.0,4.541,0.01,0.0,4.541,4.541,1.577,0.0,0.0,0.0,0.016,0.0,-1.0,2.165,0.1,2.165,6.0,4.541,6.0,4.541,6.0
39.928,12.883,-10.02,0.0,250.914,180.86,-73.666,224.572,254.424,29.852,0.882,254.424,0.0,254.424,-5.57,-9.525,-10.02,77.8,1.4,1.4,321.0,0.596,4.475,0.003,0.0,4.475,4.475,2.246,0.0,0.0,0.0,0.012,0.0,-1.0,2.079,0.1,2.079,6.0,4.475,6.0,4.475,6.0
23.469,-2.065,-7.86,0.0,275.642,188.117,-91.283,616.729,707.064,90.335,0.868,707.064,0.0,707.064,-6.2,-6.911,-7.86,80.4,1.3,1.3,320.0,0.0,4.298,-0.008,0.0,4.298,4.298,2.236,0.0,0.0,0.0,-0.01,0.0,-1.0,1.918,0.1,1.918,6.0,4.298,6.0,4.298,6.0
-5.766,-21.906,-5.06,0.0,283.562,188.673,-98.658,1039.045,1230.677,191.632,0.843,1258.336,0.0,1258.336,-5.67,-7.608,-5.06,79.2,0.7,0.7,314.0,0.0,4.048,-0.0,0.0,4.048,4.048,2.204,0.0,0.0,0.0,-0.032,0.0,-1.0,1.718,0.1,1.718,6.0,4.048,6.0,4.048,6.0
-25.629,-29.527,-1.93,0.0,305.902,197.769,-112.084,1156.935,1366.1,209.165,0.847,1460.752,0.0,1460.752,-2.68,0.0,-1.93,73.0,0.6,0.6,313.0,0.624,3.761,-0.019,0.0,3.761,3.761,2.826,0.0,0.0,0.0,-0.057,-0.01,-1.0,1.492,0.1,1.492,6.0,3.761,6.0,3.761,6.0
-0.748,-50.106,-3.71,0.0,302.923,203.023,-103.955,1156.935,1366.1,209.165,0.847,1435.178,0.0,1435.178,-2.56,-1.841,-3.71,72.4,0.2,0.2,312.0,0.0,3.582,-0.01,0.0,3.582,3.582,2.779,0.0,0.0,0.0,-0.043,-0.004,-1.0,1.359,1.73,1.359,6.0,3.582,6.0,3.582,6.0
-7.903,-56.229,-3.08,0.0,295.009,197.493,-101.461,1156.935,1366.1,209.165,0.847,1409.603,0.0,1409.603,-4.65,-3.835,-3.08,77.4,0.1,0.1,282.0,0.0,3.421,-0.018,0.0,3.421,3.421,2.721,0.0,0.0,0.0,-0.058,0.0,-1.0,1.261,0.1,1.261,6.0,3.421,6.0,3.421,6.0
-14.467,-47.438,-4.45,0.0,291.837,193.389,-102.311,1156.935,1366.1,209.165,0.847,1384.029,0.0,1384.029,-4.81,-4.124,-4.45,76.5,0.1,0.1,114.0,0.0,3.294,-0.018,0.0,3.294,3.294,2.655,0.0,0.0,0.0,-0.066,0.0,-1.0,1.204,1.475,1.204,6.0,3.294,6.0,3.294,6.0
-2.481,-68.107,-1.588,0.0,298.703,192.922,-109.635,1139.888,1357.968,218.08,0.832,1358.454,0.0,1358.454,-4.12,0.0,-1.588,67.0,0.1,0.1,141.0,0.709,5.343,0.0,0.0,5.343,5.343,3.366,0.09,0.0,0.0,-0.051,-0.02,-1.0,1.164,0.609,1.164,6.0,5.343,6.0,5.343,6.0
0.761,-11.336,-8.769,0.0,285.726,189.641,-99.874,836.181,1004.464,168.283,0.845,1004.464,0.0,1004.464,-5.91,-7.545,-8.769,77.3,0.2,0.2,56.0,0.0,5.273,-0.0,0.0,5.273,5.273,3.353,0.112,0.0,0.0,-0.013,0.0,-1.0,1.142,3.694,1.142,6.0,5.273,6.0,5.273,6.0
1.825,0.151,-11.98,0.0,231.839,185.247,-50.292,350.956,407.984,57.028,0.861,407.984,0.0,407.984,-6.8,-22.729,-11.98,79.0,0.5,0.5,344.0,0.0,5.257,0.0,0.0,5.257,5.257,3.353,0.0,0.0,0.0,0.001,0.0,-1.0,1.131,6.0,1.131,6.0,5.257,6.0,5.257,6.0
1.277,0.286,-13.02,0.0,203.223,183.331,-23.554,56.116,65.28,9.164,0.849,65.28,0.0,65.28,-7.32,-29.354,-13.02,84.6,0.5,0.5,326.0,0.0,5.252,0.0,0.0,5.252,5.252,3.354,0.0,0.0,0.0,0.0,0.0,-1.0,1.125,6.0,1.125,6.0,5.252,6.0,5.252,6.0
1.05,0.228,-12.37,0.0,192.745,181.708,-14.667,0.0,0.0,0.0,0.839,0.0,0.0,0.0,-7.85,-30.865,-12.37,86.2,0.5,0.5,328.0,0.0,5.247,0.0,0.0,5.247,5.247,3.354,0.0,0.0,0.0,0.0,0.0,-1.0,1.121,6.0,1.121,6.0,5.247,6.0,5.247,6.0
2.691,0.555,-13.19,0.0,190.969,178.768,-15.772,0.0,0.0,0.0,0.839,0.0,0.0,0.0,-8.47,-31.042,-13.19,84.8,0.7,0.7,330.0,0.0,5.244,0.001,0.0,5.244,5.244,3.355,0.0,0.0,0.0,0.001,0.0,-1.0,1.116,6.0,1.116,6.0,5.244,6.0,5.244,6.0
5.544,1.016,-12.09,0.0,188.374,172.155,-19.658,0.0,0.0,0.0,0.844,0.0,0.0,0.0,-10.18,-32.293,-12.09,83.4,0.8,0.8,326.0,0.0,5.243,0.001,0.0,5.243,5.243,3.356,0.0,0.0,0.0,0.001,0.0,-1.0,1.111,6.0,1.111,6.0,5.243,6.0,5.243,6.0
8.761,1.478,-12.29,0.0,186.73,166.451,-23.603,0.0,0.0,0.0,0.848,0.0,0.0,0.0,-11.01,-32.304,-12.29,82.5,0.9,0.9,325.0,0.0,5.243,0.002,0.0,5.243,5.243,3.358,0.0,0.0,0.0,0.002,0.0,-1.0,1.107,6.0,1.107,6.0,5.243,6.0,5.243,6.0
10.345,1.645,-12.19,0.0,185.715,163.353,-25.625,0.0,0.0,0.0,0.85,0.0,0.0,0.0,-11.5,-32.975,-12.19,81.4,0.9,0.9,324.0,0.0,5.245,0.002,0.0,5.245,5.245,3.361,0.0,0.0,0.0,0.002,0.0,-1.0,1.103,6.0,1.103,6.0,5.245,6.0,5.245,6.0
13.227,2.061,-12.74,0.0,186.299,161.372,-28.15,0.0,0.0,0.0,0.851,0.0,0.0,0.0,-11.82,-32.05,-12.74,80.6,1.0,1.0,325.0,0.0,5.248,0.002,0.0,5.248,5.248,3.363,0.0,0.0,0.0,0.003,0.0,-1.0,1.099,6.0,1.099,6.0,5.248,6.0,5.248,6.0
23.652,4.093,-13.12,0.0,195.37,161.41,-37.184,0.0,0.0,0.0,0.86,0.0,0.0,0.0,-11.48,-27.523,-13.12,79.0,1.2,1.2,323.0,0.0,5.259,0.005,0.0,4.164,6.261,3.369,0.0,0.0,0.0,0.006,0.0,-1.0,1.095,6.0,1.095,6.0,5.259,6.0,5.259,6.0
